'Property'	'1'	'2'	'3'	'4'	'5'	'6'	'7'	'8'	'9'	'10'	'11'	'12'	'13'	'14'	'15'	'16'
1				125	120					112		115	118		110	
2				126		118		110		128	125			125		
3	110								125	118	138	110				126
4		131	150	157			125				150	156				
5	150	154	152		125			157		139						
6		138			118	110			120		124		129			
7	134				144	146	130					130		145		
8	157	159		150		134									120	158
9			156		155						150			138	124	156
10			156			128		155				153	155			122
11	155		158	157					142				123	155		
12		118					110			113			118	125		111
13			152			111	150		112	128					130	
14	115						112	110			135		130		128	
15		115						110	145			135		124	120	
16				157	120		150	135	120							132
