'KL'	'KB'	'KSSPI'	'TEXT'
0.5	'KNC'	1.1	108.1
0.5	'KNC'	1.1	110.1
0.5	'KNC'	1.1	111.8
0.5	'KNC'	2.2	108.6
0.5	'KNC'	2.2	110.2
0.5	'KNC'	2.2	111.2
0.5	'KNC'	4.4	95
0.5	'KNC'	4.4	95.4
0.5	'KNC'	4.4	95.5
0.5	'KSS'	1.1	107.3
0.5	'KSS'	1.1	110.1
0.5	'KSS'	1.1	112.6
0.5	'KSS'	2.2	97.9
0.5	'KSS'	2.2	100.1
0.5	'KSS'	2.2	102
0.5	'KSS'	4.4	86.8
0.5	'KSS'	4.4	88.1
0.5	'KSS'	4.4	89.1
1	'KNC'	1.1	94.1
1	'KNC'	1.1	96.1
1	'KNC'	1.1	97.8
1	'KNC'	2.2	95.7
1	'KNC'	2.2	97.6
1	'KNC'	2.2	99.8
1	'KNC'	4.4	90.2
1	'KNC'	4.4	92.1
1	'KNC'	4.4	93.7
1	'KSS'	1.1	97.3
1	'KSS'	1.1	99.1
1	'KSS'	1.1	100.6
1	'KSS'	2.2	92.8
1	'KSS'	2.2	94.6
1	'KSS'	2.2	96.7
1	'KSS'	4.4	86.8
1	'KSS'	4.4	88.1
1	'KSS'	4.4	89.1
