'Plot'	'Treatment'	'Count'
1	'Control'	33
1	'Control'	59
2	'Control'	36
2	'Control'	24
3	'Control'	19
3	'Control'	27
4	'Control'	71
4	'Control'	49
5	'Control'	22
5	'Control'	27
6	'Control'	84
6	'Control'	50
1	'Control'	30
1	'Control'	36
2	'Control'	23
2	'Control'	23
3	'Control'	42
3	'Control'	39
4	'Control'	39
4	'Control'	20
5	'Control'	42
5	'Control'	22
6	'Control'	23
6	'Control'	37
1	'TRT1'	8
1	'TRT1'	11
2	'TRT1'	15
2	'TRT1'	20
3	'TRT1'	10
3	'TRT1'	7
4	'TRT1'	17
4	'TRT1'	26
5	'TRT1'	14
5	'TRT1'	11
6	'TRT1'	22
6	'TRT1'	30
1	'TRT2'	12
1	'TRT2'	17
2	'TRT2'	6
2	'TRT2'	4
3	'TRT2'	12
3	'TRT2'	10
4	'TRT2'	5
4	'TRT2'	8
5	'TRT2'	12
5	'TRT2'	12
6	'TRT2'	16
6	'TRT2'	4
1	'TRT3'	6
1	'TRT3'	10
2	'TRT3'	4
2	'TRT3'	7
3	'TRT3'	4
3	'TRT3'	12
4	'TRT3'	5
4	'TRT3'	5
5	'TRT3'	2
5	'TRT3'	6
6	'TRT3'	17
6	'TRT3'	11
1	'TRT4'	17
1	'TRT4'	8
2	'TRT4'	3
2	'TRT4'	2
3	'TRT4'	6
3	'TRT4'	3
4	'TRT4'	1
4	'TRT4'	1
5	'TRT4'	2
5	'TRT4'	5
6	'TRT4'	6
6	'TRT4'	5
