'TREATMENT'	'TRACT'	'DATE'	'COUNTS'
'BURNED'	1	'Oct-92'	27
'BURNED'	2	'Oct-92'	5
'BURNED'	3	'Oct-92'	17
'BURNED'	4	'Oct-92'	41
'BURNED'	5	'Oct-92'	25
'BURNED'	6	'Oct-92'	11
'BURNED'	7	'Oct-92'	37
'BURNED'	8	'Oct-92'	38
'BURNED'	9	'Oct-92'	31
'BURNED'	10	'Oct-92'	24
'BURNED'	11	'Oct-92'	22
'BURNED'	12	'Oct-92'	26
'BURNED'	13	'Oct-92'	32
'BURNED'	14	'Oct-92'	35
'BURNED'	15	'Oct-92'	26
'BURNED'	16	'Oct-92'	22
'BURNED'	17	'Oct-92'	50
'BURNED'	18	'Oct-92'	17
'BURNED'	19	'Oct-92'	25
'BURNED'	20	'Oct-92'	33
'CONTROL'	1	'Oct-92'	7
'CONTROL'	2	'Oct-92'	57
'CONTROL'	3	'Oct-92'	43
'CONTROL'	4	'Oct-92'	43
'CONTROL'	5	'Oct-92'	59
'CONTROL'	6	'Oct-92'	42
'CONTROL'	7	'Oct-92'	35
'CONTROL'	8	'Oct-92'	40
'CONTROL'	9	'Oct-92'	24
'CONTROL'	10	'Oct-92'	42
'CONTROL'	11	'Oct-92'	16
'CONTROL'	12	'Oct-92'	54
'CONTROL'	13	'Oct-92'	30
'CONTROL'	14	'Oct-92'	47
'CONTROL'	15	'Oct-92'	40
'CONTROL'	16	'Oct-92'	11
'CONTROL'	17	'Oct-92'	41
'CONTROL'	18	'Oct-92'	50
'CONTROL'	19	'Oct-92'	8
'CONTROL'	20	'Oct-92'	0
'BURNED'	1	'Jul-93'	25
'BURNED'	2	'Jul-93'	15
'BURNED'	3	'Jul-93'	26
'BURNED'	4	'Jul-93'	41
'BURNED'	5	'Jul-93'	28
'BURNED'	6	'Jul-93'	24
'BURNED'	7	'Jul-93'	40
'BURNED'	8	'Jul-93'	38
'BURNED'	9	'Jul-93'	33
'BURNED'	10	'Jul-93'	25
'BURNED'	11	'Jul-93'	27
'BURNED'	12	'Jul-93'	45
'BURNED'	13	'Jul-93'	38
'BURNED'	14	'Jul-93'	37
